id,title,location,category,price,poster,date_posted,source,vertical,poster_type,subject_category,instruction_lang,level,classification,confidence,is_remote,remote_confidence,reasoning,reason,description_preview,description_source,was_reanalyzed,url
N/A,Regional Sales Manager,Metro Atlanta,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"About Us At Open Farm we are transforming the way people feed their pets, with a focus on producing premium, healthy food and treats, all ethically sourced from farm-to-bowl. Headquarteredâ¯in Toront...",listing_page,No,https://remoteOK.com/remote-jobs/remote-regional-sales-manager-open-farm-1131355
N/A,Senior Transportation Specialist,Australia,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"As a member of the ShipBob Team, you will...   Grow with an Ownership Mindset : We champion continuous learning and innovation. You'll take on real problems, create tangible solutions, and drive resul...",listing_page,No,https://remoteOK.com/remote-jobs/remote-senior-transportation-specialist-shipbob-inc-1131354
N/A,Senior Client Services Specialist,Remote USA,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"  Senior Client Services Specialist Position Summary The Senior Client Services Specialist acts as an intermediary between the Company and our clients.  In this role, the Senior Support Specialist pro...",listing_page,No,https://remoteOK.com/remote-jobs/remote-senior-client-services-specialist-dentalxchange-1131353
N/A,Regional Human Resources Business Partner West,California,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"At Rowan, we are all about making ear piercing experiences a celebration full of joy! Rowan is an innovative ear-piercing and hypoallergenic jewelry brand that brings safety to the forefront with our ...",listing_page,No,https://remoteOK.com/remote-jobs/remote-regional-human-resources-business-partner-west-rowan-1131352
N/A,Associate Copywriter,El Segundo,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"Creating a world where pets live longer, healthier lives, from their very first meal. Learn more about our brands. Weâre Looking For A: Associate Copywriter Location: Remote (El Segundo, CA and/or N...",listing_page,No,https://remoteOK.com/remote-jobs/remote-associate-copywriter-golden-pet-brands-1131351
N/A,Senior Publications Manager,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),About Us:   Oruka Therapeutics (Nasdaq: ORKA) is developing novel biologics designed to set a new standard for the treatment of chronic skin diseases. Oruka's mission is to offer patients suffering fr...,listing_page,No,https://remoteOK.com/remote-jobs/remote-senior-publications-manager-oruka-therapeutics-1131350
N/A,Senior Scientific Communications Manager,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),About Us:   Oruka Therapeutics (Nasdaq: ORKA) is developing novel biologics designed to set a new standard for the treatment of chronic skin diseases. Oruka's mission is to offer patients suffering fr...,listing_page,No,https://remoteOK.com/remote-jobs/remote-senior-scientific-communications-manager-oruka-therapeutics-1131349
N/A,Senior Product Marketing Manager US,Remote US,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"Working for a company like Smile Digital Health means supporting our mandate for #BetterGlobalHealth . We strive towards this goal every day, and the results can be seen in the impact of our innovativ...",listing_page,No,https://remoteOK.com/remote-jobs/remote-senior-product-marketing-manager-us-smile-digital-health-1131348
N/A,Senior Enablement Manager,Mumbai,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"Brandtech+ (formerly known as OLIVER+) is a global team of creative thinkers, tech-savvy trendsetters, and production pros specialising in film, CGI, automation, AI, motion design, and digital/print c...",listing_page,No,https://remoteOK.com/remote-jobs/remote-senior-enablement-manager-brandtech-1131346
N/A,Engineer Software,Remote / Worldwide,N/A,N/A,N/A,N/A,remoteok,general,unknown,N/A,N/A,N/A,N/A,N/A,Yes,0.99,N/A,Cached from history: RECENT (seen 0h ago),"At Verint, we believe customer engagement is the core of every global brand. Our mission is to help organizations elevate Customer Experience (CX) and increase workforce productivity by delivering CX ...",listing_page,No,https://remoteOK.com/remote-jobs/remote-engineer-software-calabrio-1131345
