id,title,location,category,price,poster,date_posted,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
118,Soutien scolaire CM2 pour enfant de 10 ans,Soutien scolaire - Maisons-Laffitte (78600),N/A,A définir,reinhardinho,08/11/2025,N/A,N/A,No,N/A,"Bonjour,Je recherche une personne sérieuse pour accompagner ma fille de 10 ans, en classe de CM2, dans ses devoirs ainsi que pour l’aider à...",listing_page,No,https://www.jemepropose.com/annonces/soutien-scolaire/soutien-scolaire-cm2-pour-enfant-de-10-ans+10496720/
119,"ménage , repassage",Ménage - Bricqueville-sur-Mer (50290),N/A,13.00 € - De l'heure,azur 50,07/11/2025,N/A,N/A,No,N/A,"retraitée recherche heures de ménage, repassage, sur le secteur de Bricqueville, Bréhal et environs",listing_page,No,https://www.jemepropose.com/annonces/menage/menage-repassage+10496689/
120,je recherche une personne pour le menage des parties communes d'un immeuble sur Foix,Ménage - Foix (09000),N/A,A définir,seb.loisel,07/11/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/je-recherche-une-personne-pour-le-menage-des-parties-communes-dun-immeuble-sur-foix+10496669/
121,Agent de gardiennage et entretien – Disponibilité immédiate,Gardiennage de domicile - Mandelieu-la-Napoule (06210),N/A,A définir,kevin-gardiennage,06/11/2025,N/A,N/A,No,N/A,"Bonjour,Je suis Kevin, une personne sérieuse, fiable et discrète, à la recherche d’un poste de gardiennage de maison ou de propriété. Fort...",listing_page,No,https://www.jemepropose.com/annonces/gardiennage-de-domicile/agent-de-gardiennage-et-entretien-disponibilite-immediate+10496634/
122,Je cherche un travail,Ménage - Montcornet (02340),N/A,11.00 € - De l'heure,Gho,06/11/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/je-cherche-un-travail+10496617/
123,Inexpérimenté,Emploi étudiant - Toulouse (31000),N/A,9.72 € - De l'heure,RuthM.O,05/11/2025,N/A,N/A,No,N/A,"Salut, je suis une jeune étudiante à la recherche d'un travail. Le seul travail que j'ai fait c'est dans l'inventaire. Je peux me proposer pour...",listing_page,No,https://www.jemepropose.com/annonces/emploi-etudiant/inexperimente+10496599/
124,Auxiliaire de vie,Auxiliaire de vie - Voinsles (77540),N/A,11.00 € - De l'heure,Patrick laureau,04/11/2025,N/A,N/A,No,N/A,Bonjour,listing_page,No,https://www.jemepropose.com/annonces/auxiliaire-de-vie/auxiliaire-de-vie+10496549/
125,Recherche 2 acteurs parlant japonais ou coréen,Acteur - Mauguio (34130),N/A,Gratuit,LucasHelburg,04/11/2025,N/A,N/A,No,N/A,"Bonjour, bonsoir.",listing_page,No,https://www.jemepropose.com/annonces/acteur/recherche-2-acteurs-parlant-japonais-ou-coreen+10496514/
126,Creation site internet,Création site internet - Cagnes-sur-Mer (06800),N/A,Gratuit,ciindy1031,04/11/2025,N/A,N/A,Yes,N/A,Bonjour je recherche une personne qui peut me cree un site internet droopshipping cles en main . Je prendrer le devis le moins chere car je...,listing_page,No,https://www.jemepropose.com/annonces/creation-site-internet/creation-site-internet+10496507/
127,Recherche aide ménagère sérieuse,Ménage - Le Lamentin (97232),N/A,15.00 € - De l'heure,Vicky972,04/11/2025,N/A,N/A,No,N/A,"Bonjour, je recherche une aide ménagère sérieuse et appliquée, véhiculée, pour des travaux de ménage dans villa sur le Lamentin. Merci de...",listing_page,No,https://www.jemepropose.com/annonces/menage/recherche-aide-menagere-serieuse+10496501/
128,Recherche ingénieur du son pour collaboration artistique,Ingénieur du son - Nantes (44000),N/A,Partage,JALIA muz,04/11/2025,N/A,N/A,No,N/A,"Je recherche un ingénieur du son patient, créatif, sensible et ouvert, capable de comprendre la vision d’une artiste intuitive et de...",listing_page,No,https://www.jemepropose.com/annonces/ingenieur-du-son/recherche-ingenieur-du-son-pour-collaboration-artistique+10496485/
129,Recherche 32h cdi agent d'entretien,Ménage - Toulouse (31000),N/A,A définir,bouilloux,02/11/2025,N/A,N/A,No,N/A,"Bonjour Madame, Monsieur",listing_page,No,https://www.jemepropose.com/annonces/menage/recherche-32h-cdi-agent-dentretien+10496378/
130,Cours de français langue étrangère (FLE) – préparation DELF B2﻿ / DALF C1﻿,Formations à distance - A Distance,N/A,A définir,SophieFLE,01/11/2025,N/A,N/A,Yes,N/A,"Formatrice diplômée Master 2 en didactique du FLE, avec près de 20 ans d’expérience.",listing_page,No,https://www.jemepropose.com/annonces/formations-a-distance/cours-de-francais-langue-etrangere-fle-preparation-delf-b2-dalf-c1+10496361/
